no_cargo,CATEGORIA
ASSISTENTE INFO. JUNIOR,ASSISTENTE
ASSISTENTE INFO. JUNIOR2,ASSISTENTE
ASSISTENTE INFO. JUNIOR3,ASSISTENTE
ASSISTENTE INFO. JUNIOR7,ASSISTENTE
ASSISTENTE INFO. PLENO,ASSISTENTE
ASSISTENTE INFO. PLENO1,ASSISTENTE
ASSISTENTE INFO. PLENO3,ASSISTENTE
ASSISTENTE INFO. PLENO4,ASSISTENTE
ASSISTENTE INFO. PLENO5,ASSISTENTE
ASSISTENTE INFO. SENIOR,ASSISTENTE
ASSISTENTE INFO. SENIOR4,ASSISTENTE
ASSISTENTE INFO. SENIOR5,ASSISTENTE
ASSISTENTE INFO. SENIOR7,ASSISTENTE
ASSISTENTE JR,ASSISTENTE
ASSISTENTE JURIDICO,ASSISTENTE
ASSISTENTE LEGISLATIVA,ASSISTENTE
ASSISTENTE LEGISLATIVO,ASSISTENTE
ASSISTENTE NUCLEO REGIONAL,ASSISTENTE
ASSISTENTE OPERACOES,ASSISTENTE
ASSISTENTE PESSOAL,ASSISTENTE
ASSISTENTE PRODUCAO,ASSISTENTE
ASSISTENTE SERVICOS INTERNOS,ASSISTENTE
ASSISTENTE SOCIAL,ASSISTENTE
ASSISTENTE SOCIAL  IV1,ASSISTENTE
ASSISTENTE SOCIAL (ESTATUTARIO,ASSISTENTE
ASSISTENTE SOCIAL C6,ASSISTENTE
ASSISTENTE SOCIAL C7,ASSISTENTE
ASSISTENTE SOCIAL D7,ASSISTENTE
ASSISTENTE SOCIAL EDUCACIONAL,ASSISTENTE
ASSISTENTE SR,ASSISTENTE
ASSISTENTE SUP ADMNISTRATIVO,ASSISTENTE
ASSISTENTE SUP TECNOLOGICO,ASSISTENTE
ASSISTENTE TEC LEGISLATIVO,ASSISTENTE
ASSISTENTE TECNICO,ASSISTENTE
ASSISTENTE TECNICO  VIII1,ASSISTENTE
ASSISTENTE TECNICO  VIII6,ASSISTENTE
ASSISTENTE TECNICO  VIII7,ASSISTENTE
ASSISTENTE TECNICO C4,ASSISTENTE
ASSISTENTE TECNICO C5,ASSISTENTE
ASSISTENTE TECNICO C6,ASSISTENTE
ASSISTENTE TECNICO C7,ASSISTENTE
ASSISTENTE TECNICO D6,ASSISTENTE
ASSISTENTE TECNICO D7,ASSISTENTE
ASSISTENTE TECNICO I NEFETIVO,ASSISTENTE
ASSISTENTE TECNICO I6,ASSISTENTE
ASSISTENTE TECNICO I7,ASSISTENTE
ASSISTENTE TECNICO IV6,ASSISTENTE
ASSISTENTE TECNICO VI6,ASSISTENTE
ASSISTENTE TECNOL INFORMACAO,ASSISTENTE
ASSISTENTE TECNOL. INFORMACAO,ASSISTENTE
ASSITENTE TECNICO II NEFETIVO,ASSISTENTE
ASSSISTENTE ADMINISTRATIVO,ASSISTENTE
ATEND ENFERMAGEM,ATENDENTE
ATENDENTE,ATENDENTE
ATENDENTE COMERCIAL,ATENDENTE
ATENDENTE CONSULT. DENTARIO,ATENDENTE
ATENDENTE CONSULTORIO DENTARI,ATENDENTE
ATENDENTE CONSULTORIO DENTARIO,ATENDENTE
ATENDENTE TECNICO,ATENDENTE
AU ILIAR DE SERVICOS,AUXILIAR
AUDITOR,AUDITOR
AUDITOR DE CONTAS PUBLICAS,AUDITOR
AUDITOR FISCAL MERCAD TRANSITO,AUDITOR
AUDITOR FISCAL MERCAD.TRANSITO,AUDITOR
AUDITOR FISCAL TRIBUTARIO EST,AUDITOR
AUDITOR FISCAL TRIBUTARIO EST.,AUDITOR
AUDITOR INTERNO,AUDITOR
AUX  MACANICO II5,AUXILIAR
AUX  SERV  GERAIS II2,AUXILIAR
AUX  SERV  GERAIS II3,AUXILIAR
AUX  SERV  GERAIS II4,AUXILIAR
